id,modul,klausur1,note1,klausur2,note2,vorlesungpraesenz,vorlesungvideo,tutorium,zusatztutorium,vorkenntnisse,einschaetzung,vorbereitungszeit1,vorbereitungszeit2,vorbereitung0,vorbereitung1,vorbereitung2,vorbereitung3,vorbereitung4,vorbereitung5,vorbereitung6,vorbereitung7,vorbereitung8,vorbereitungother,materialname,materialnutzen,uebungansehen,uebungbearbeiten,gruppen,zeit1,zeit2,konzentration1,konzentration2,schwierigkeit1,schwierigkeit2,alter,geschlecht
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,2,1,2,0,0,4,1,1,Y,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,22,1
3,1,0,,1,1,0,0,0,0,1,5,,6,,,Y,,Y,Y,Y,Y,,,,,0,0,1,,1,,1,,2,19,3
4,1,1,5,0,,5,9,10,0,0,3,16,,,Y,Y,Y,Y,Y,Y,Y,,,,,14,8,1,1,,1,,3,,19,1
5,2,1,3,0,,0,0,0,0,1,2,20,,,,Y,Y,Y,Y,Y,Y,,,,,0,0,3,1,,1,,3,,24,3
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,7,0,,10,1,11,0,0,3,25,,,,Y,Y,Y,Y,Y,Y,,,,,8,4,1,1,,2,,3,,21,1
8,1,1,5,0,,5,6,13,0,0,4,20,,,,Y,Y,Y,Y,Y,Y,,,,,5,3,1,2,,1,,4,,21,1
9,1,1,9,0,,3,4,10,1,0,3,15,,,,Y,Y,Y,Y,Y,Y,Y,,YouTube ,2,8,5,1,1,,1,,3,,20,1
10,1,1,4,0,,0,1,12,0,0,3,10,,,,,,Y,Y,,,,Zusammenfassung von anderen ansehen,,,5,5,1,1,,1,,4,,23,1
11,2,1,4,1,2,0,3,11,0,1,2,15,4,,,Y,,Y,Y,Y,Y,,,,,10,10,3,1,1,1,1,3,4,21,3
12,1,1,8,0,,11,1,11,0,1,2,20,,,Y,Y,Y,Y,Y,Y,Y,Y,,Vorlesungsubterlagen Mathematik für Logik,2,10,10,2,1,,2,,4,,19,1
13,1,1,11,1,1,6,13,1,0,0,3,0,20,,Y,Y,,Y,Y,Y,Y,,,,,0,0,3,1,1,2,2,3,2,22,2
14,2,1,4,0,,10,1,13,0,0,1,30,,,,Y,Y,Y,Y,Y,,,,,,14,6,1,1,,1,,2,,23,3
15,2,1,6,0,,2,12,14,0,0,1,20,,,Y,Y,Y,Y,Y,Y,Y,,,,,14,14,2,1,,1,,4,,26,3
16,2,1,1,0,,1,13,1,0,1,1,14,,,,Y,Y,Y,Y,Y,Y,,Extra Folien von dem Tutor angeschaut,,,12,12,1,1,,1,,3,,24,3
17,2,1,7,0,,0,0,14,0,0,3,20,,,,,Y,Y,Y,Y,Y,,,,,10,10,2,1,,1,,4,,22,1
